drive,age,colour,type,date,value
Electric,0-5 years,Green,Sedan,2016-07-31,1.5975570477039374
Electric,0-5 years,Green,Sedan,2016-08-31,-1.1394266558096953
Electric,0-5 years,Green,Sedan,2016-09-30,-1.3860190869324898
Electric,0-5 years,Green,Sedan,2016-10-31,-2.4129088942949273
Electric,0-5 years,Green,Sedan,2016-11-30,-0.7682182178765075
Electric,0-5 years,Green,Sedan,2016-12-31,-0.7123419010843651
Electric,0-5 years,Green,Sedan,2017-01-31,0.11696007342886042
Electric,0-5 years,Green,Sedan,2017-02-28,0.2719044627331541
Electric,0-5 years,Green,Sedan,2017-03-31,-0.48733709601429054
Electric,0-5 years,Green,Supermini,2016-03-31,-0.49686019972792234
Electric,0-5 years,Green,Supermini,2016-04-30,-0.28507457347309983
Electric,0-5 years,Green,Supermini,2016-05-31,-1.1022474863030325
Electric,0-5 years,Green,Supermini,2016-06-30,-0.7246996227206556
Electric,0-5 years,Green,Supermini,2016-07-31,0.26500881930770137
Electric,0-5 years,Green,Supermini,2016-08-31,-1.3813819297994947
Electric,0-5 years,Green,Supermini,2016-09-30,0.5873468364570394
Electric,0-5 years,Green,Supermini,2016-10-31,2.106298660901959
Electric,0-5 years,Green,Supermini,2016-11-30,0.5730462899518544
Electric,0-5 years,Green,Supermini,2016-12-31,0.7318933042027508
Electric,0-5 years,Green,Supermini,2017-01-31,0.5500614375460292
Electric,0-5 years,Green,Supermini,2017-02-28,1.3493368612501433
Electric,0-5 years,Green,Supermini,2017-03-31,0.15428229279966474
Electric,0-5 years,Black,Sport,2016-03-31,0.17560177636903823
Electric,0-5 years,Black,Sport,2016-04-30,-1.135052688239399
Electric,0-5 years,Black,Sport,2016-05-31,-0.8044585550944954
Electric,0-5 years,Black,Sport,2016-06-30,-1.4167082483880555
Electric,0-5 years,Black,Sport,2016-07-31,-1.7776142553988694
Electric,0-5 years,Black,Sport,2016-08-31,0.3107965554920641
Electric,0-5 years,Black,Sport,2016-09-30,0.1355607162887367
Electric,0-5 years,Black,Sport,2016-10-31,-0.7793010129811847
Electric,0-5 years,Black,Sport,2016-11-30,-1.4107040931578307
Electric,0-5 years,Black,Sport,2016-12-31,-0.15036829474880378
Electric,0-5 years,Black,Sport,2017-01-31,1.6670917364204225
Electric,0-5 years,Black,Sport,2017-02-28,0.7868290989301395
Electric,0-5 years,Black,Sport,2017-03-31,1.1233676279169156
Electric,0-5 years,Black,Sedan,2016-03-31,0.5280347115505467
Electric,0-5 years,Black,Sedan,2016-04-30,0.5835935225029769
Electric,0-5 years,Black,Sedan,2016-05-31,2.0456332507862975
Electric,0-5 years,Black,Sedan,2016-06-30,-2.224273108625182
Electric,0-5 years,Black,Sedan,2016-07-31,-0.047565606573394204
Electric,0-5 years,Black,Sedan,2016-08-31,-0.8483318356253372
Electric,0-5 years,Black,Sedan,2016-09-30,-0.06386934385699322
Electric,0-5 years,Black,Sedan,2016-10-31,1.418028412946332
Electric,0-5 years,Black,Sedan,2016-11-30,0.023388787543436897
Electric,0-5 years,Black,Sedan,2016-12-31,-0.25734057393840165
Electric,0-5 years,Black,Sedan,2017-01-31,-0.8358879667244734
Electric,0-5 years,Black,Sedan,2017-02-28,-1.3679138120468002
Electric,0-5 years,Black,Sedan,2017-03-31,-0.5672137747117543
Electric,0-5 years,Black,Supermini,2016-03-31,2.3041559069137834
Electric,0-5 years,Black,Supermini,2016-04-30,-1.3039999176339634
Electric,0-5 years,Black,Supermini,2016-05-31,-0.4192741071120301
Electric,0-5 years,Black,Supermini,2016-06-30,0.9038955722784545
Electric,0-5 years,Black,Supermini,2016-07-31,-0.997315833763135
Electric,0-5 years,Black,Supermini,2016-08-31,2.221652745242441
Electric,0-5 years,Black,Supermini,2016-09-30,-0.17559329760387693
Electric,0-5 years,Black,Supermini,2016-10-31,-0.5688074237699465
Electric,0-5 years,Black,Supermini,2016-11-30,-0.6507814411180691
Electric,0-5 years,Black,Supermini,2016-12-31,0.3912429618111071
Electric,0-5 years,Black,Supermini,2017-01-31,-0.10976409432747847
Electric,0-5 years,Black,Supermini,2017-02-28,0.13490932576824188
Electric,0-5 years,Black,Supermini,2017-03-31,0.9129507977883843
Electric,5 years +,Yellow,Sport,2016-03-31,-0.7479465626252881
Electric,5 years +,Yellow,Sport,2016-04-30,1.068971318264979
Electric,5 years +,Yellow,Sport,2016-05-31,-0.018095028483141984
Electric,5 years +,Yellow,Sport,2016-06-30,-0.7182645036501439
Electric,5 years +,Yellow,Sport,2016-07-31,-1.9475008114562609
Electric,5 years +,Yellow,Sport,2016-08-31,0.5798334910320231
Electric,5 years +,Yellow,Sport,2016-09-30,-0.733904054207857
Electric,5 years +,Yellow,Sport,2016-10-31,-0.8172134141022209
Electric,5 years +,Yellow,Sport,2016-11-30,-0.11389691538054593
Electric,5 years +,Yellow,Sport,2016-12-31,-1.3292102305999798
Electric,5 years +,Yellow,Sport,2017-01-31,-1.5082148578567371
Electric,5 years +,Yellow,Sport,2017-02-28,-1.6039458922517558
Electric,5 years +,Yellow,Sport,2017-03-31,1.2169900580719062
Electric,5 years +,Yellow,Sedan,2016-03-31,0.8732748438755562
Electric,5 years +,Yellow,Sedan,2016-04-30,-1.0513625007868417
Electric,5 years +,Yellow,Sedan,2016-05-31,-0.8324407896847984
Electric,5 years +,Yellow,Sedan,2016-06-30,1.4850254308285138
Electric,5 years +,Yellow,Sedan,2016-07-31,0.6420080301672526
Electric,5 years +,Yellow,Sedan,2016-08-31,-1.101487957092954
Electric,5 years +,Yellow,Sedan,2016-09-30,0.5151450993770852
Electric,5 years +,Yellow,Sedan,2016-10-31,-0.02834281620856746
Electric,5 years +,Yellow,Sedan,2016-11-30,-0.11700784846658858
Electric,5 years +,Yellow,Sedan,2016-12-31,-0.6813097328551233
Electric,5 years +,Yellow,Sedan,2017-01-31,-1.260873418494852
Electric,5 years +,Yellow,Sedan,2017-02-28,1.5239751852627137
Electric,5 years +,Yellow,Sedan,2017-03-31,0.7896421248687108
Electric,5 years +,Yellow,Supermini,2016-03-31,-1.7687639886106485
Electric,5 years +,Yellow,Supermini,2016-04-30,-0.5375911394643695
Electric,5 years +,Yellow,Supermini,2016-05-31,1.082590059570939
Electric,5 years +,Yellow,Supermini,2016-06-30,-1.0345593937154318
Electric,5 years +,Yellow,Supermini,2016-07-31,-0.3935739878793337
Electric,5 years +,Yellow,Supermini,2016-08-31,-0.23271479830718275
Electric,5 years +,Yellow,Supermini,2016-09-30,0.05592046459305433
Electric,5 years +,Yellow,Supermini,2016-10-31,0.11604947033905265
Electric,5 years +,Yellow,Supermini,2016-11-30,-0.4279612050214159
Electric,5 years +,Yellow,Supermini,2016-12-31,0.39077323042674755
Electric,5 years +,Yellow,Supermini,2017-01-31,1.4106267829011219
Electric,5 years +,Yellow,Supermini,2017-02-28,-0.8956615705857762
Electric,5 years +,Yellow,Supermini,2017-03-31,0.3294227687381489
Electric,5 years +,Blue,Sport,2016-03-31,1.53570480520509
Electric,5 years +,Blue,Sport,2016-04-30,-0.7123857486385982
Electric,5 years +,Blue,Sport,2016-05-31,-0.603996824039397
Electric,5 years +,Blue,Sport,2016-06-30,0.7210489530944547
Electric,5 years +,Blue,Sport,2016-07-31,-0.5982807475284551
Electric,5 years +,Blue,Sport,2016-08-31,-1.519718981234423
Electric,5 years +,Blue,Sport,2016-09-30,-0.40331394146805377
Electric,5 years +,Blue,Sport,2016-10-31,0.455175756152181
Electric,5 years +,Blue,Sport,2016-11-30,1.536991733332093
Electric,5 years +,Blue,Sport,2016-12-31,-0.27905319252280103
Electric,5 years +,Blue,Sport,2017-01-31,-0.8053081269098235
Electric,5 years +,Blue,Sport,2017-02-28,0.8831593906164742
Electric,5 years +,Blue,Sport,2017-03-31,0.27851046638815896
Electric,5 years +,Blue,Sedan,2016-03-31,-0.029031912270120877
Electric,5 years +,Blue,Sedan,2016-04-30,-0.5068245779474547
Electric,5 years +,Blue,Sedan,2016-05-31,0.1257285765418778
Electric,5 years +,Blue,Sedan,2016-06-30,0.5032313645901796
Electric,5 years +,Blue,Sedan,2016-07-31,0.9651384339505655
Electric,5 years +,Blue,Sedan,2016-08-31,0.4425657074821609
Electric,5 years +,Blue,Sedan,2016-09-30,-1.1739207958387299
Electric,5 years +,Blue,Sedan,2016-10-31,-2.4456588085680173
Electric,5 years +,Blue,Sedan,2016-11-30,-1.2177128068257494
Electric,5 years +,Blue,Sedan,2016-12-31,0.06957762240558943
Electric,5 years +,Blue,Sedan,2017-01-31,1.3576469330157437
Electric,5 years +,Blue,Sedan,2017-02-28,0.4542193747322811
Electric,5 years +,Blue,Sedan,2017-03-31,0.6334837915639064
Electric,5 years +,Blue,Supermini,2016-03-31,0.5895538813499068
Electric,5 years +,Blue,Supermini,2016-04-30,0.7392203139152294
Electric,5 years +,Blue,Supermini,2016-05-31,0.6966441317782321
Electric,5 years +,Blue,Supermini,2016-06-30,-2.223371916048808
Electric,5 years +,Blue,Supermini,2016-07-31,-0.5302019357155304
Electric,5 years +,Blue,Supermini,2016-08-31,-0.4954348897487614
Electric,5 years +,Blue,Supermini,2016-09-30,0.9232307930141195
Electric,5 years +,Blue,Supermini,2016-10-31,-0.8626153896556408
Electric,5 years +,Blue,Supermini,2016-11-30,1.8406300461098009
Electric,5 years +,Blue,Supermini,2016-12-31,-1.1843844649084023
Electric,5 years +,Blue,Supermini,2017-01-31,-0.5541144466201299
Electric,5 years +,Blue,Supermini,2017-02-28,1.4549874475925975
Electric,5 years +,Blue,Supermini,2017-03-31,1.2500342277609195
Electric,5 years +,Green,Sport,2016-03-31,1.0053297398771321
Electric,5 years +,Green,Sport,2016-04-30,0.3916162777860601
Electric,5 years +,Green,Sport,2016-05-31,-0.5770433369522173
Electric,5 years +,Green,Sport,2016-06-30,-0.23064166431445363
Electric,5 years +,Green,Sport,2016-07-31,1.0260516147990237
Electric,5 years +,Green,Sport,2016-08-31,-0.2774311233368241
Electric,5 years +,Green,Sport,2016-09-30,1.8420010111765601
Electric,5 years +,Green,Sport,2016-10-31,0.11070255136234676
Electric,5 years +,Green,Sport,2016-11-30,2.223888826498257
Electric,5 years +,Green,Sport,2016-12-31,-1.4794918611226178
Electric,5 years +,Green,Sport,2017-01-31,0.7176477137966055
Electric,5 years +,Green,Sport,2017-02-28,-0.76310137099181
Electric,5 years +,Green,Sport,2017-03-31,0.41947747239650707
Electric,5 years +,Green,Sedan,2016-03-31,0.13029368656649648
Electric,5 years +,Green,Sedan,2016-04-30,-0.07752420266568097
Electric,5 years +,Green,Sedan,2016-05-31,0.056964540895546124
Electric,5 years +,Green,Sedan,2016-06-30,0.7358416630138848
Electric,5 years +,Green,Sedan,2016-07-31,-0.006495712354469708
Electric,5 years +,Green,Sedan,2016-08-31,-1.0419471583483104
Electric,5 years +,Green,Sedan,2016-09-30,1.3576184877582136
Electric,5 years +,Green,Sedan,2016-10-31,0.7270248308079994
Electric,5 years +,Green,Sedan,2016-11-30,-0.45681844709296193
Electric,5 years +,Green,Sedan,2016-12-31,1.63010127525237
Electric,5 years +,Green,Sedan,2017-01-31,0.4942864255152593
Electric,5 years +,Green,Sedan,2017-02-28,1.087090552520111
Electric,5 years +,Green,Sedan,2017-03-31,0.2751965848222523
Electric,5 years +,Green,Supermini,2016-03-31,0.37222533552420356
Electric,5 years +,Green,Supermini,2016-04-30,-1.2853180949479421
Electric,5 years +,Green,Supermini,2016-05-31,-1.8599643846712568
Electric,5 years +,Green,Supermini,2016-06-30,1.1173583284020283
Electric,5 years +,Green,Supermini,2016-07-31,1.167253564470602
Electric,5 years +,Green,Supermini,2016-08-31,-0.11882108196587793
Electric,5 years +,Green,Supermini,2016-09-30,0.5270434926659135
Electric,5 years +,Green,Supermini,2016-10-31,-0.8802811012481415
Electric,5 years +,Green,Supermini,2016-11-30,2.060626005534487
Electric,5 years +,Green,Supermini,2016-12-31,-1.767576828266712
Electric,5 years +,Green,Supermini,2017-01-31,-0.3858722146031611
Electric,5 years +,Green,Supermini,2017-02-28,0.7679098539805207
Electric,5 years +,Green,Supermini,2017-03-31,-0.8887932448044233
Electric,5 years +,Black,Sport,2016-03-31,-1.7654791083169479
Electric,5 years +,Black,Sport,2016-04-30,0.6399761115418124
Electric,5 years +,Black,Sport,2016-05-31,-0.03981584086512613
Electric,5 years +,Black,Sport,2016-06-30,0.3267165901178166
Electric,5 years +,Black,Sport,2016-07-31,1.3608518668754055
Electric,5 years +,Black,Sport,2016-08-31,0.6060874143395704
Electric,5 years +,Black,Sport,2016-09-30,-1.4514605656484774
Electric,5 years +,Black,Sport,2016-10-31,-1.7166144845427318
Electric,5 years +,Black,Sport,2016-11-30,-2.511798348628378
Electric,5 years +,Black,Sport,2016-12-31,-1.8635394924735436
Electric,5 years +,Black,Sport,2017-01-31,-0.4716376925570628
Electric,5 years +,Black,Sport,2017-02-28,0.27099599292666343
Electric,5 years +,Black,Sport,2017-03-31,0.5056180117356395
Electric,5 years +,Black,Sedan,2016-03-31,0.2520356847393536
Electric,5 years +,Black,Sedan,2016-04-30,-1.7058100537850867
Electric,5 years +,Black,Sedan,2016-05-31,1.0796500858158269
Electric,5 years +,Black,Sedan,2016-06-30,-0.7515197115880657
Electric,5 years +,Black,Sedan,2016-07-31,-0.7018139266375096
Electric,5 years +,Black,Sedan,2016-08-31,0.19037817593461612
Electric,5 years +,Black,Sedan,2016-09-30,-1.1676259931144106
Electric,5 years +,Black,Sedan,2016-10-31,0.030407516905746758
Electric,5 years +,Black,Sedan,2016-11-30,0.775846460013416
Electric,5 years +,Black,Sedan,2016-12-31,-0.10497424133477179
Electric,5 years +,Black,Sedan,2017-01-31,-0.37242975286187213
Electric,5 years +,Black,Sedan,2017-02-28,-0.6917955393070521
Electric,5 years +,Black,Sedan,2017-03-31,-1.0326370664650697
Electric,5 years +,Black,Supermini,2016-03-31,0.490544371261078
Electric,5 years +,Black,Supermini,2016-04-30,1.0992955444500947
Electric,5 years +,Black,Supermini,2016-05-31,0.760624113214989
Electric,5 years +,Black,Supermini,2016-06-30,-1.0371631377405326
Electric,5 years +,Black,Supermini,2016-07-31,0.5235198579473008
Electric,5 years +,Black,Supermini,2016-08-31,-1.1919601297390554
Electric,5 years +,Black,Supermini,2016-09-30,0.43792141184730776
Electric,5 years +,Black,Supermini,2016-10-31,-0.5400756114202506
Electric,5 years +,Black,Supermini,2016-11-30,0.6114402489875452
Electric,5 years +,Black,Supermini,2016-12-31,0.2762768655790353
Electric,5 years +,Black,Supermini,2017-01-31,0.3944506658404031
Electric,5 years +,Black,Supermini,2017-02-28,0.15918554478413324
Electric,5 years +,Black,Supermini,2017-03-31,0.5277335460691892
Electric,Brand new,Yellow,Sport,2016-03-31,-0.5962845422672048
Electric,Brand new,Yellow,Sport,2016-04-30,-0.5905837045965564
Electric,Brand new,Yellow,Sport,2016-05-31,0.48959548940261166
Electric,Brand new,Yellow,Sport,2016-06-30,1.5651474388675528
Electric,Brand new,Yellow,Sport,2016-07-31,-0.7213984555454395
Electric,Brand new,Yellow,Sport,2016-08-31,1.132511556283719
Electric,Brand new,Yellow,Sport,2016-09-30,0.9844805510342627
Electric,Brand new,Yellow,Sport,2016-10-31,-0.7611435660157833
Electric,Brand new,Yellow,Sport,2016-11-30,-0.7148074873232972
Electric,Brand new,Yellow,Sport,2016-12-31,0.15370578351143913
Electric,Brand new,Yellow,Sport,2017-01-31,-0.7747997922291306
Electric,Brand new,Yellow,Sport,2017-02-28,2.579674565277528
Electric,Brand new,Yellow,Sport,2017-03-31,1.5107170039882158
Electric,Brand new,Yellow,Sedan,2016-03-31,-0.3365490734353025
Electric,Brand new,Yellow,Sedan,2016-04-30,-0.5980588536238244
Electric,Brand new,Yellow,Sedan,2016-05-31,-0.5677217522646726
Electric,Brand new,Yellow,Sedan,2016-06-30,-0.4834362693803905
Electric,Brand new,Yellow,Sedan,2016-07-31,-0.41773334240186016
Electric,Brand new,Yellow,Sedan,2016-08-31,-1.2480106837763236
Electric,Brand new,Yellow,Sedan,2016-09-30,0.8960714328453967
Electric,Brand new,Yellow,Sedan,2016-10-31,1.7084827378630492
Electric,Brand new,Yellow,Sedan,2016-11-30,-1.8878662528735448
Electric,Brand new,Yellow,Sedan,2016-12-31,0.6100847456022358
Electric,Brand new,Yellow,Sedan,2017-01-31,1.1280221934178472
Electric,Brand new,Yellow,Sedan,2017-02-28,0.12350717581510161
Electric,Brand new,Yellow,Sedan,2017-03-31,1.0637365233527734
Electric,Brand new,Yellow,Supermini,2016-03-31,-0.6967634639216541
Electric,Brand new,Yellow,Supermini,2016-04-30,-0.6150848503618392
Electric,Brand new,Yellow,Supermini,2016-05-31,0.19406387805780143
Electric,Brand new,Yellow,Supermini,2016-06-30,-1.4070267731551507
Electric,Brand new,Yellow,Supermini,2016-07-31,-0.9746853210280589
Electric,Brand new,Yellow,Supermini,2016-08-31,-1.5580119393323113
Electric,Brand new,Yellow,Supermini,2016-09-30,-1.0631475936459494
Electric,Brand new,Yellow,Supermini,2016-10-31,0.45039351928074095
Electric,Brand new,Yellow,Supermini,2016-11-30,0.21075644491662357
Electric,Brand new,Yellow,Supermini,2016-12-31,-0.4900355921397722
Electric,Brand new,Yellow,Supermini,2017-01-31,-0.5309310853083802
Electric,Brand new,Yellow,Supermini,2017-02-28,0.30590195661323505
Electric,Brand new,Yellow,Supermini,2017-03-31,-1.0500795182051894
Electric,Brand new,Blue,Sport,2016-03-31,-1.6892514962717686
Electric,Brand new,Blue,Sport,2016-04-30,0.4636877675937838
Electric,Brand new,Blue,Sport,2016-05-31,1.6951296067243804
Electric,Brand new,Blue,Sport,2016-06-30,0.6654061202453817
Electric,Brand new,Blue,Sport,2016-07-31,0.9672876238358858
Electric,Brand new,Blue,Sport,2016-08-31,-0.04112189356394787
Electric,Brand new,Blue,Sport,2016-09-30,0.3344474946287797
Electric,Brand new,Blue,Sport,2016-10-31,1.4316650373437858
Electric,Brand new,Blue,Sport,2016-11-30,-0.33432645602511335
Electric,Brand new,Blue,Sport,2016-12-31,-0.7149499836727633
Electric,Brand new,Blue,Sport,2017-01-31,0.03919127831629811
Electric,Brand new,Blue,Sport,2017-02-28,-0.13772171903852115
Electric,Brand new,Blue,Sport,2017-03-31,-0.3623587915347989
Electric,Brand new,Blue,Sedan,2016-03-31,-0.4578704280739174
Electric,Brand new,Blue,Sedan,2016-04-30,-0.5542975327676363
Electric,Brand new,Blue,Sedan,2016-05-31,0.976565962117246
Electric,Brand new,Blue,Sedan,2016-06-30,-0.12978190842205697
Electric,Brand new,Blue,Sedan,2016-07-31,-0.47252460236367533
Electric,Brand new,Blue,Sedan,2016-08-31,0.7149039552769408
Electric,Brand new,Blue,Sedan,2016-09-30,0.21998379453384342
Electric,Brand new,Blue,Sedan,2016-10-31,0.40903765446638013
Electric,Brand new,Blue,Sedan,2016-11-30,-0.7883631620419344
Electric,Brand new,Blue,Sedan,2016-12-31,-0.6205172260557019
Electric,Brand new,Blue,Sedan,2017-01-31,0.5187117656673811
Electric,Brand new,Blue,Sedan,2017-02-28,-1.3213914545001237
Electric,Brand new,Blue,Sedan,2017-03-31,-0.0842892750885794
Electric,Brand new,Blue,Supermini,2016-03-31,0.36777598227896385
Electric,Brand new,Blue,Supermini,2016-04-30,-0.23673684386953744
Electric,Brand new,Blue,Supermini,2016-05-31,-2.0256721144019014
Electric,Brand new,Blue,Supermini,2016-06-30,-0.6795699099608099
Electric,Brand new,Blue,Supermini,2016-07-31,0.18835914149593203
Electric,Brand new,Blue,Supermini,2016-08-31,1.5018645608082355
Electric,Brand new,Blue,Supermini,2016-09-30,-0.8986043159567321
Electric,Brand new,Blue,Supermini,2016-10-31,0.6030816424369656
Electric,Brand new,Blue,Supermini,2016-11-30,0.0258699976796512
Electric,Brand new,Blue,Supermini,2016-12-31,1.1296377192310896
Electric,Brand new,Blue,Supermini,2017-01-31,0.14958984952185747
Electric,Brand new,Blue,Supermini,2017-02-28,0.42897846998563743
Electric,Brand new,Blue,Supermini,2017-03-31,0.09671021880673857
Electric,Brand new,Green,Sport,2016-03-31,-0.4604231654008979
Electric,Brand new,Green,Sport,2016-04-30,-0.4349887487246982
Electric,Brand new,Green,Sport,2016-05-31,0.3471433948605935
Electric,Brand new,Green,Sport,2016-06-30,-0.2986515675354072
Electric,Brand new,Green,Sport,2016-07-31,0.221963009544774
Electric,Brand new,Green,Sport,2016-08-31,0.9138175938761912
Electric,Brand new,Green,Sport,2016-09-30,1.3715564870547063
Electric,Brand new,Green,Sport,2016-10-31,-0.9311857651537467
Electric,Brand new,Green,Sport,2016-11-30,0.27003221424303053
Electric,Brand new,Green,Sport,2016-12-31,0.047086458047712054
Electric,Brand new,Green,Sport,2017-01-31,1.185350739871575
Electric,Brand new,Green,Sport,2017-02-28,-0.8484807483441273
Electric,Brand new,Green,Sport,2017-03-31,-1.093745118886267
Electric,Brand new,Green,Sedan,2016-03-31,-1.6645898736567837
Electric,Brand new,Green,Sedan,2016-04-30,-0.05388466240334893
Electric,Brand new,Green,Sedan,2016-05-31,0.037777873596192356
Electric,Brand new,Green,Sedan,2016-06-30,0.8871067854556967
